trade_date,rewards
2011-04-13,"tf.Tensor(0.08242893, shape=(), dtype=float32)"
2011-04-14,"tf.Tensor(0.08216536, shape=(), dtype=float32)"
2011-04-15,"tf.Tensor(0.08232224, shape=(), dtype=float32)"
2011-04-18,"tf.Tensor(0.08209705, shape=(), dtype=float32)"
2011-04-19,"tf.Tensor(0.081150174, shape=(), dtype=float32)"
2011-04-20,"tf.Tensor(0.081775665, shape=(), dtype=float32)"
2011-04-21,"tf.Tensor(0.08234286, shape=(), dtype=float32)"
2011-04-22,"tf.Tensor(0.082087874, shape=(), dtype=float32)"
2011-04-25,"tf.Tensor(0.0812037, shape=(), dtype=float32)"
2011-04-26,"tf.Tensor(0.080735326, shape=(), dtype=float32)"
2011-04-27,"tf.Tensor(0.08038056, shape=(), dtype=float32)"
2011-04-28,"tf.Tensor(0.07937932, shape=(), dtype=float32)"
2011-04-29,"tf.Tensor(0.07992518, shape=(), dtype=float32)"
2011-05-02,"tf.Tensor(0.07988334, shape=(), dtype=float32)"
2011-05-03,"tf.Tensor(0.08025849, shape=(), dtype=float32)"
2011-05-04,"tf.Tensor(0.07876027, shape=(), dtype=float32)"
2011-05-05,"tf.Tensor(0.07862306, shape=(), dtype=float32)"
2011-05-06,"tf.Tensor(0.07862449, shape=(), dtype=float32)"
2011-05-09,"tf.Tensor(0.07904482, shape=(), dtype=float32)"
2011-05-10,"tf.Tensor(0.07949543, shape=(), dtype=float32)"
2011-05-11,"tf.Tensor(0.079223275, shape=(), dtype=float32)"
2011-05-12,"tf.Tensor(0.078468084, shape=(), dtype=float32)"
2011-05-13,"tf.Tensor(0.078884244, shape=(), dtype=float32)"
2011-05-16,"tf.Tensor(0.078262925, shape=(), dtype=float32)"
2011-05-17,"tf.Tensor(0.07821751, shape=(), dtype=float32)"
2011-05-18,"tf.Tensor(0.07878029, shape=(), dtype=float32)"
2011-05-19,"tf.Tensor(0.078653336, shape=(), dtype=float32)"
2011-05-20,"tf.Tensor(0.07847655, shape=(), dtype=float32)"
2011-05-23,"tf.Tensor(0.07626617, shape=(), dtype=float32)"
2011-05-24,"tf.Tensor(0.07619083, shape=(), dtype=float32)"
2011-05-25,"tf.Tensor(0.0757035, shape=(), dtype=float32)"
2011-05-26,"tf.Tensor(0.07560122, shape=(), dtype=float32)"
2011-05-27,"tf.Tensor(0.07504928, shape=(), dtype=float32)"
2011-05-30,"tf.Tensor(0.07469487, shape=(), dtype=float32)"
2011-05-31,"tf.Tensor(0.076076984, shape=(), dtype=float32)"
2011-06-01,"tf.Tensor(0.075832844, shape=(), dtype=float32)"
2011-06-02,"tf.Tensor(0.07479668, shape=(), dtype=float32)"
2011-06-03,"tf.Tensor(0.07500243, shape=(), dtype=float32)"
2011-06-06,"tf.Tensor(0.07480383, shape=(), dtype=float32)"
2011-06-07,"tf.Tensor(0.07506859, shape=(), dtype=float32)"
2011-06-08,"tf.Tensor(0.07493937, shape=(), dtype=float32)"
2011-06-09,"tf.Tensor(0.07401073, shape=(), dtype=float32)"
2011-06-10,"tf.Tensor(0.07371485, shape=(), dtype=float32)"
2011-06-13,"tf.Tensor(0.073672414, shape=(), dtype=float32)"
2011-06-14,"tf.Tensor(0.0745343, shape=(), dtype=float32)"
2011-06-15,"tf.Tensor(0.07359445, shape=(), dtype=float32)"
2011-06-16,"tf.Tensor(0.07242, shape=(), dtype=float32)"
2011-06-17,"tf.Tensor(0.07171929, shape=(), dtype=float32)"
2011-06-20,"tf.Tensor(0.071272254, shape=(), dtype=float32)"
2011-06-21,"tf.Tensor(0.07228446, shape=(), dtype=float32)"
2011-06-22,"tf.Tensor(0.072083, shape=(), dtype=float32)"
2011-06-23,"tf.Tensor(0.07277608, shape=(), dtype=float32)"
2011-06-24,"tf.Tensor(0.074067116, shape=(), dtype=float32)"
2011-06-27,"tf.Tensor(0.074472904, shape=(), dtype=float32)"
2011-06-28,"tf.Tensor(0.07474697, shape=(), dtype=float32)"
2011-06-29,"tf.Tensor(0.074219584, shape=(), dtype=float32)"
2011-06-30,"tf.Tensor(0.07533097, shape=(), dtype=float32)"
2011-07-01,"tf.Tensor(0.075677395, shape=(), dtype=float32)"
2011-07-04,"tf.Tensor(0.07708168, shape=(), dtype=float32)"
2011-07-05,"tf.Tensor(0.07715738, shape=(), dtype=float32)"
2011-07-06,"tf.Tensor(0.07694018, shape=(), dtype=float32)"
2011-07-07,"tf.Tensor(0.07695377, shape=(), dtype=float32)"
2011-07-08,"tf.Tensor(0.07702553, shape=(), dtype=float32)"
2011-07-11,"tf.Tensor(0.07662976, shape=(), dtype=float32)"
2011-07-12,"tf.Tensor(0.075179696, shape=(), dtype=float32)"
2011-07-13,"tf.Tensor(0.076269984, shape=(), dtype=float32)"
2011-07-14,"tf.Tensor(0.07642317, shape=(), dtype=float32)"
2011-07-15,"tf.Tensor(0.07668626, shape=(), dtype=float32)"
2011-07-18,"tf.Tensor(0.076406956, shape=(), dtype=float32)"
2011-07-19,"tf.Tensor(0.076265216, shape=(), dtype=float32)"
2011-07-20,"tf.Tensor(0.07624674, shape=(), dtype=float32)"
2011-07-21,"tf.Tensor(0.075846314, shape=(), dtype=float32)"
2011-07-22,"tf.Tensor(0.07633555, shape=(), dtype=float32)"
2011-07-25,"tf.Tensor(0.07438898, shape=(), dtype=float32)"
2011-07-26,"tf.Tensor(0.074716926, shape=(), dtype=float32)"
2011-07-27,"tf.Tensor(0.07486701, shape=(), dtype=float32)"
2011-07-28,"tf.Tensor(0.074504495, shape=(), dtype=float32)"
2011-07-29,"tf.Tensor(0.07400429, shape=(), dtype=float32)"
2011-08-01,"tf.Tensor(0.07420051, shape=(), dtype=float32)"
2011-08-02,"tf.Tensor(0.07316017, shape=(), dtype=float32)"
2011-08-03,"tf.Tensor(0.07291138, shape=(), dtype=float32)"
2011-08-04,"tf.Tensor(0.07215428, shape=(), dtype=float32)"
2011-08-05,"tf.Tensor(0.070338726, shape=(), dtype=float32)"
2011-08-08,"tf.Tensor(0.066646576, shape=(), dtype=float32)"
2011-08-09,"tf.Tensor(0.06644666, shape=(), dtype=float32)"
2011-08-10,"tf.Tensor(0.06662774, shape=(), dtype=float32)"
2011-08-11,"tf.Tensor(0.06802714, shape=(), dtype=float32)"
2011-08-12,"tf.Tensor(0.06845045, shape=(), dtype=float32)"
2011-08-15,"tf.Tensor(0.07009995, shape=(), dtype=float32)"
2011-08-16,"tf.Tensor(0.06947839, shape=(), dtype=float32)"
2011-08-17,"tf.Tensor(0.06936073, shape=(), dtype=float32)"
2011-08-18,"tf.Tensor(0.06744039, shape=(), dtype=float32)"
2011-08-19,"tf.Tensor(0.066140056, shape=(), dtype=float32)"
2011-08-22,"tf.Tensor(0.06577206, shape=(), dtype=float32)"
2011-08-23,"tf.Tensor(0.06748736, shape=(), dtype=float32)"
2011-08-24,"tf.Tensor(0.06715608, shape=(), dtype=float32)"
2011-08-25,"tf.Tensor(0.068542, shape=(), dtype=float32)"
2011-08-26,"tf.Tensor(0.06862843, shape=(), dtype=float32)"
2011-08-29,"tf.Tensor(0.0685972, shape=(), dtype=float32)"
2011-08-30,"tf.Tensor(0.0685904, shape=(), dtype=float32)"
2011-08-31,"tf.Tensor(0.06890011, shape=(), dtype=float32)"
2011-09-01,"tf.Tensor(0.068451166, shape=(), dtype=float32)"
2011-09-02,"tf.Tensor(0.06710267, shape=(), dtype=float32)"
2011-09-05,"tf.Tensor(0.0654372, shape=(), dtype=float32)"
2011-09-06,"tf.Tensor(0.0650543, shape=(), dtype=float32)"
2011-09-07,"tf.Tensor(0.06689489, shape=(), dtype=float32)"
2011-09-08,"tf.Tensor(0.06611717, shape=(), dtype=float32)"
2011-09-09,"tf.Tensor(0.0654546, shape=(), dtype=float32)"
2011-09-12,"tf.Tensor(0.06481886, shape=(), dtype=float32)"
2011-09-13,"tf.Tensor(0.06430411, shape=(), dtype=float32)"
2011-09-14,"tf.Tensor(0.06490743, shape=(), dtype=float32)"
2011-09-15,"tf.Tensor(0.065250754, shape=(), dtype=float32)"
2011-09-16,"tf.Tensor(0.06561816, shape=(), dtype=float32)"
2011-09-19,"tf.Tensor(0.06392825, shape=(), dtype=float32)"
2011-09-20,"tf.Tensor(0.06419122, shape=(), dtype=float32)"
2011-09-21,"tf.Tensor(0.064991355, shape=(), dtype=float32)"
2011-09-22,"tf.Tensor(0.062001348, shape=(), dtype=float32)"
2011-09-23,"tf.Tensor(0.061573982, shape=(), dtype=float32)"
