trade_date,000001.SH_close,000300.SH_close,000905.SH_close,399006.SZ_close,HIS.HI_close,SPX.GI_close,CBA00301.CS_close,rewards
2017-09-01,3367.119,3830.538,6526.504,7383.456999999999,27953.16,2476.55,168.6005,9932.308864086817
2017-09-04,3379.583,3845.616,6564.68,7438.854,27740.26,2476.55,168.5854,9944.23774302898
2017-09-05,3384.317,3857.046,6571.859,7481.019,27741.35,2457.85,168.4952,9947.043167017822
2017-09-06,3385.388,3849.449,6607.116999999999,7486.266,27613.76,2465.54,168.5458,9949.04667328012
2017-09-07,3365.4970000000003,3829.8709999999996,6558.596,7441.96,27522.92,2465.1,168.7896,9934.358265555893
2017-09-08,3365.242,3825.989,6574.182,7448.771,27668.47,2461.43,168.9545,9937.121237923851
2017-09-11,3376.4179999999997,3825.645,6649.6269999999995,7537.528,27955.13,2488.11,168.9566,9948.144404376317
2017-09-12,3379.488,3837.934,6644.0109999999995,7547.991999999999,27972.24,2496.48,168.9556,9951.084796783824
2017-09-13,3384.147,3842.6059999999998,6684.379,7566.771,27894.08,2498.37,168.8976,9954.503549687277
2017-09-14,3371.425,3829.955,6672.184,7517.130999999999,27777.2,2495.62,169.0622,9945.228480223162
2017-09-15,3353.619,3831.296,6622.043000000001,7488.369000000001,27807.59,2500.23,169.0464,9927.267882502698
2017-09-18,3362.8579999999997,3843.1420000000003,6669.454000000001,7567.673000000001,28159.77,2503.87,169.0002,9935.304673922717
2017-09-19,3356.844,3832.116,6636.02,7503.863,28051.41,2506.65,169.0297,9929.904824022175
2017-09-20,3365.995,3842.435,6692.472,7597.0,28127.8,2508.24,169.0186,9938.647806533912
2017-09-21,3357.812,3837.817,6612.045,7571.2919999999995,28110.33,2500.6,168.9595,9929.387942768646
2017-09-22,3352.5290000000005,3837.73,6572.009,7525.397,27880.53,2502.22,169.0818,9926.500846141804
2017-09-25,3341.548,3817.7909999999997,6489.844,7452.47,27500.34,2496.66,169.2941,9919.752967683722
2017-09-26,3343.5820000000003,3820.781,6520.717,7451.771,27513.01,2496.84,169.2758,9921.277991602852
2017-09-27,3345.2709999999997,3821.2,6583.14,7522.0830000000005,27642.43,2507.04,169.21900000000002,9921.825592340227
2017-09-28,3339.6420000000003,3822.538,6567.791,7523.371999999999,27421.6,2510.06,169.3042,9917.90608721665
2017-09-29,3348.9429999999998,3836.5009999999997,6603.258000000001,7561.776,27554.3,2519.36,169.3528,9927.997916452234
2017-09-30,3348.9429999999998,3836.5009999999997,6603.258000000001,7561.776,27554.3,2519.36,169.3707,9928.310493536328
2017-10-02,3348.9429999999998,3836.5009999999997,6603.258000000001,7561.776,27554.3,2529.12,169.3707,9928.308758537934
2017-10-03,3348.9429999999998,3836.5009999999997,6603.258000000001,7561.776,28173.21,2534.58,169.3707,9928.308263067524
2017-10-04,3348.9429999999998,3836.5009999999997,6603.258000000001,7561.776,28379.18,2537.74,169.3707,9928.307824967664
2017-10-05,3348.9429999999998,3836.5009999999997,6603.258000000001,7561.776,28379.18,2552.07,169.3707,9928.30773284893
2017-10-06,3348.9429999999998,3836.5009999999997,6603.258000000001,7561.776,28458.04,2549.33,169.3707,9928.307774541829
2017-10-09,3374.3779999999997,3882.2070000000003,6678.371,7652.522,28326.59,2544.73,169.3656,9953.34343422032
2017-10-10,3382.987,3889.863,6705.481,7694.896,28490.83,2550.64,169.3561,9961.494497387055
2017-10-11,3388.283,3902.6859999999997,6666.469,7728.69,28389.57,2555.24,169.36599999999999,9966.842467687042
2017-10-12,3386.1,3912.953,6659.095,7708.986,28459.03,2550.93,169.2312,9962.033952039854
2017-10-13,3390.5229999999997,3921.0009999999997,6709.816,7784.125,28476.43,2553.17,169.267,9967.050626492459
2017-10-16,3378.47,3913.446,6619.205,7739.66,28692.8,2557.64,169.0368,9950.707412619007
2017-10-17,3372.04,3913.0679999999998,6612.941999999999,7726.536,28697.49,2559.36,168.8731,9941.085414206947
2017-10-18,3381.7929999999997,3944.1620000000003,6563.436,7756.071999999999,28711.76,2561.26,168.9157,9951.457492830463
2017-10-19,3370.172,3931.2490000000003,6501.399,7716.251,28159.09,2562.1,169.0556,9942.766020556614
2017-10-20,3378.6479999999997,3926.8520000000003,6571.424,7752.529,28487.24,2575.21,169.0865,9951.578050442393
2017-10-23,3380.699,3930.798,6612.763000000001,7797.579000000001,28305.88,2564.98,169.1111,9954.038494661385
2017-10-24,3388.2470000000003,3959.395,6603.004,7815.379,28154.97,2569.13,169.1153,9961.523118657173
2017-10-25,3396.897,3976.949,6647.892,7853.785,28302.89,2557.15,168.8832,9965.406585918148
2017-10-26,3407.567,3993.575,6671.928000000001,7856.874,28202.38,2560.4,168.8688,9975.468494976303
2017-10-27,3416.812,4021.967,6630.806,7820.656,28438.85,2581.07,168.6825,9980.766001942437
2017-10-30,3390.337,4009.7209999999995,6511.7609999999995,7746.609,28336.19,2572.83,168.1046,9943.507499882966
2017-10-31,3393.341,4006.717,6560.205,7827.093000000001,28245.54,2575.26,168.1671,9947.473685327659
2017-11-01,3395.9120000000003,3996.6220000000003,6552.954000000001,7812.034000000001,28594.06,2579.36,168.4067,9954.707719976643
2017-11-02,3383.309,3997.134,6484.925,7794.375,28518.64,2579.85,168.3579,9941.431141720297
2017-11-03,3371.744,3992.697,6426.979,7756.578,28603.61,2587.84,168.3293,9929.42087957267
2017-11-06,3388.1740000000004,4020.889,6511.095,7848.909000000001,28596.8,2591.13,168.3793,9946.421052849777
2017-11-07,3413.574,4054.2459999999996,6551.936,7925.861,28994.34,2590.64,168.245,9968.560242658928
