trade_date,rewards
2011-03-28,"tf.Tensor(1.2611022, shape=(), dtype=float32)"
2011-03-29,"tf.Tensor(1.259927, shape=(), dtype=float32)"
2011-03-30,"tf.Tensor(1.2587624, shape=(), dtype=float32)"
2011-03-31,"tf.Tensor(1.2575967, shape=(), dtype=float32)"
2011-04-01,"tf.Tensor(1.2564387, shape=(), dtype=float32)"
2011-04-02,"tf.Tensor(1.255267, shape=(), dtype=float32)"
2011-04-04,"tf.Tensor(1.2540952, shape=(), dtype=float32)"
2011-04-05,"tf.Tensor(1.2529203, shape=(), dtype=float32)"
2011-04-06,"tf.Tensor(1.2517449, shape=(), dtype=float32)"
2011-04-07,"tf.Tensor(1.2505653, shape=(), dtype=float32)"
2011-04-08,"tf.Tensor(1.2493827, shape=(), dtype=float32)"
2011-04-11,"tf.Tensor(1.2481911, shape=(), dtype=float32)"
2011-04-12,"tf.Tensor(1.247006, shape=(), dtype=float32)"
2011-04-13,"tf.Tensor(1.2458267, shape=(), dtype=float32)"
2011-04-14,"tf.Tensor(1.2446362, shape=(), dtype=float32)"
2011-04-15,"tf.Tensor(1.2434492, shape=(), dtype=float32)"
2011-04-18,"tf.Tensor(1.2422612, shape=(), dtype=float32)"
2011-04-19,"tf.Tensor(1.2410755, shape=(), dtype=float32)"
2011-04-20,"tf.Tensor(1.2399035, shape=(), dtype=float32)"
2011-04-21,"tf.Tensor(1.2387229, shape=(), dtype=float32)"
2011-04-22,"tf.Tensor(1.2375342, shape=(), dtype=float32)"
2011-04-25,"tf.Tensor(1.2363503, shape=(), dtype=float32)"
2011-04-26,"tf.Tensor(1.2351804, shape=(), dtype=float32)"
2011-04-27,"tf.Tensor(1.234018, shape=(), dtype=float32)"
2011-04-28,"tf.Tensor(1.2328615, shape=(), dtype=float32)"
2011-04-29,"tf.Tensor(1.2317216, shape=(), dtype=float32)"
2011-05-02,"tf.Tensor(1.2305728, shape=(), dtype=float32)"
2011-05-03,"tf.Tensor(1.2294241, shape=(), dtype=float32)"
2011-05-04,"tf.Tensor(1.2282686, shape=(), dtype=float32)"
2011-05-05,"tf.Tensor(1.2271354, shape=(), dtype=float32)"
